Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice
The Mist,2007,R,21-Nov-07,126 min,"Horror, Sci-Fi, Thriller",Frank Darabont,"Frank Darabont, Stephen King","Thomas Jane, Marcia Gay Harden, Laurie Holden","A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",English,United States,6 wins & 13 nominations,7.1,"308,835",tt0884328,movie,25-Mar-08,"$25,594,957 "
Dog Soldiers,2002,R,10-May-02,105 min,"Action, Horror, Thriller",Neil Marshall,Neil Marshall,"Sean Pertwee, Kevin McKidd, Emma Cleasby",A routine military exercise turns into a nightmare in the Scotland wilderness.,English,"United Kingdom, Luxembourg",5 wins & 7 nominations,6.8,"60,632",tt0280609,movie,4-Sep-07,N/A
The Platform,2019,TV-MA,20-Mar-20,94 min,"Horror, Sci-Fi, Thriller",Galder Gaztelu-Urrutia,"David Desola, Pedro Rivero","Ivan Massagué, Zorion Eguileor, Antonia San Juan",A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,"Spanish, Italian",Spain,12 wins & 24 nominations,7,"220,017",tt8228288,movie,21-Mar-20,N/A
Thirst,2009,R,30-Apr-09,134 min,"Drama, Fantasy, Horror",Park Chan-wook,"Émile Zola, Park Chan-wook, Seo-kyeong Jeong","Song Kang-ho, Kim Ok-bin, Hee-jin Choi","Through a failed medical experiment, a priest is stricken with vampirism and is forced to abandon his ascetic ways.","Korean, English, French","South Korea, United States",17 wins & 19 nominations,7.1,"47,150",tt0762073,movie,17-Nov-09,"$318,574 "
1408,2007,PG-13,22-Jun-07,104 min,"Fantasy, Horror, Mystery",Mikael Håfström,"Matt Greenberg, Scott Alexander, Larry Karaszewski","John Cusack, Samuel L. Jackson, Mary McCormack","A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",English,United States,4 wins & 12 nominations,6.8,"273,018",tt0450385,movie,2-Oct-07,"$71,985,628 "
A Tale of Two Sisters,2003,R,13-Jun-03,114 min,"Drama, Horror, Mystery",Jee-woon Kim,Jee-woon Kim,"Lim Soo-jung, Jung-ah Yum, Kim Kap-su",A family is haunted by the tragedies of deaths within the family.,Korean,South Korea,23 wins & 3 nominations,7.1,"62,535",tt0365376,movie,29-Mar-05,"$72,541 "
Shadow of the Vampire,2000,R,26-Jan-01,92 min,"Drama, Horror",E. Elias Merhige,Steven Katz,"John Malkovich, Willem Dafoe, Udo Kier",The filming of Nosferatu (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.,"English, German, Luxembourgish","United Kingdom, Luxembourg, United States",Nominated for 2 Oscars. 16 wins & 29 nominations total,6.9,"42,164",tt0189998,movie,17-Jun-03,"$8,293,784 "
Dracula: Pages from a Virgin's Diary,2002,Not Rated,12-Dec-03,73 min,"Drama, Horror, Musical",Guy Maddin,"Bram Stoker, Mark Godden","Wei-Qiang Zhang, Tara Birtwhistle, David Moroni","A ballet rendition of Bram Stoker's ""Dracula"", stylized as an Expressionistic silent film.",English,Canada,4 wins & 2 nominations,6.9,"2,085",tt0293113,movie,18-May-04,"$55,365 "
The Others,2001,PG-13,10-Aug-01,104 min,"Horror, Mystery, Thriller",Alejandro Amenábar,Alejandro Amenábar,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan",A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,English,"Spain, United States, France, Italy",Nominated for 2 BAFTA 29 wins & 55 nominations total,7.6,"364,864",tt0230600,movie,14-May-02,"$96,522,687 "
REC,2007,R,23-Nov-07,78 min,"Horror, Mystery, Thriller","Jaume Balagueró, Paco Plaza","Jaume Balagueró, Luiso Berdejo, Paco Plaza","Manuela Velasco, Ferran Terraza, Jorge-Yamam Serrano",A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,"Spanish, Japanese",Spain,16 wins & 12 nominations,7.4,"179,621",tt1038988,movie,27-Jan-09,N/A
The Conjuring 2,2016,R,10-Jun-16,134 min,"Horror, Mystery, Thriller",James Wan,"Chad Hayes, Carey W. Hayes, James Wan","Vera Farmiga, Patrick Wilson, Madison Wolfe",Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,English,"Canada, United States, United Kingdom",4 wins & 13 nominations,7.3,"267,640",tt3065204,movie,13-Sep-16,"$102,516,140 "
Ginger Snaps,2000,Not Rated,11-May-01,108 min,"Drama, Fantasy, Horror",John Fawcett,"Karen Walton, John Fawcett","Emily Perkins, Katharine Isabelle, Kris Lemche","Two death-obsessed sisters, outcasts in their suburban neighborhood, must deal with the tragic consequences when one of them is bitten by a deadly werewolf.",English,"Canada, United States",10 wins & 9 nominations,6.8,"47,418",tt0210070,movie,22-Aug-05,"$2,554 "
The Descent,2005,R,4-Aug-06,99 min,"Adventure, Horror, Thriller",Neil Marshall,Neil Marshall,"Shauna Macdonald, Natalie Mendoza, Alex Reid","A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",English,United Kingdom,8 wins & 22 nominations,7.2,"223,116",tt0435625,movie,26-Dec-06,"$26,024,456 "
Doctor Sleep,2019,R,8-Nov-19,152 min,"Drama, Fantasy, Horror",Mike Flanagan,"Mike Flanagan, Stephen King","Ewan McGregor, Rebecca Ferguson, Kyliegh Curran","Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.","English, Persian",United States,9 wins & 37 nominations,7.3,"189,781",tt5606664,movie,7-Nov-19,"$31,581,712 "
