Title,Genre,Runtime,Length,Rated,Plot,imdbInfo,BoxOffice
The Mist,"Horror, Sci-Fi, Thriller",126,Long,R,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.","{'imdbRating': 7.1, 'imdbVotes': 308835, 'imdbID': 'tt0884328'}",25594957
Dog Soldiers,"Action, Horror, Thriller",105,Short,R,A routine military exercise turns into a nightmare in the Scotland wilderness.,"{'imdbRating': 6.8, 'imdbVotes': 60632, 'imdbID': 'tt0280609'}",0
The Platform,"Horror, Sci-Fi, Thriller",94,Short,TV-MA,A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,"{'imdbRating': 7.0, 'imdbVotes': 220017, 'imdbID': 'tt8228288'}",0
Thirst,"Drama, Fantasy, Horror",134,Long,R,"Through a failed medical experiment, a priest is stricken with vampirism and is forced to abandon his ascetic ways.","{'imdbRating': 7.1, 'imdbVotes': 47150, 'imdbID': 'tt0762073'}",318574
1408,"Fantasy, Horror, Mystery",104,Short,PG-13,"A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.","{'imdbRating': 6.8, 'imdbVotes': 273018, 'imdbID': 'tt0450385'}",71985628
A Tale of Two Sisters,"Drama, Horror, Mystery",114,Short,R,A family is haunted by the tragedies of deaths within the family.,"{'imdbRating': 7.1, 'imdbVotes': 62535, 'imdbID': 'tt0365376'}",72541
Shadow of the Vampire,"Drama, Horror",92,Short,R,The filming of Nosferatu (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.,"{'imdbRating': 6.9, 'imdbVotes': 42164, 'imdbID': 'tt0189998'}",8293784
Dracula: Pages from a Virgin's Diary,"Drama, Horror, Musical",73,Short,Not Rated,"A ballet rendition of Bram Stoker's ""Dracula"", stylized as an Expressionistic silent film.","{'imdbRating': 6.9, 'imdbVotes': 2085, 'imdbID': 'tt0293113'}",55365
The Others,"Horror, Mystery, Thriller",104,Short,PG-13,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,"{'imdbRating': 7.6, 'imdbVotes': 364864, 'imdbID': 'tt0230600'}",96522687
REC,"Horror, Mystery, Thriller",78,Short,R,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,"{'imdbRating': 7.4, 'imdbVotes': 179621, 'imdbID': 'tt1038988'}",0
The Conjuring 2,"Horror, Mystery, Thriller",134,Long,R,Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,"{'imdbRating': 7.3, 'imdbVotes': 267640, 'imdbID': 'tt3065204'}",102516140
Ginger Snaps,"Drama, Fantasy, Horror",108,Short,Not Rated,"Two death-obsessed sisters, outcasts in their suburban neighborhood, must deal with the tragic consequences when one of them is bitten by a deadly werewolf.","{'imdbRating': 6.8, 'imdbVotes': 47418, 'imdbID': 'tt0210070'}",2554
The Descent,"Adventure, Horror, Thriller",99,Short,R,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.","{'imdbRating': 7.2, 'imdbVotes': 223116, 'imdbID': 'tt0435625'}",26024456
Doctor Sleep,"Drama, Fantasy, Horror",152,Long,R,"Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.","{'imdbRating': 7.3, 'imdbVotes': 189781, 'imdbID': 'tt5606664'}",31581712
The Orphanage,"Drama, Horror, Mystery",105,Short,R,"A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend.","{'imdbRating': 7.4, 'imdbVotes': 155981, 'imdbID': 'tt0464141'}",7161284
Bone Tomahawk,"Drama, Horror, Western",132,Long,Not Rated,"In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.","{'imdbRating': 7.1, 'imdbVotes': 101604, 'imdbID': 'tt2494362'}",0
28 Days Later...,"Drama, Horror, Sci-Fi",113,Short,R,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.","{'imdbRating': 7.5, 'imdbVotes': 411990, 'imdbID': 'tt0289043'}",45064915
The Conjuring,"Horror, Mystery, Thriller",112,Short,R,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,"{'imdbRating': 7.5, 'imdbVotes': 502813, 'imdbID': 'tt1457767'}",137446368
Let Me In,"Drama, Fantasy, Horror",116,Short,R,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.,"{'imdbRating': 7.1, 'imdbVotes': 121809, 'imdbID': 'tt1228987'}",12134935
The Devil's Backbone,"Drama, Horror, Thriller",106,Short,R,"After Carlos - a 12-year-old whose father has died in the Spanish Civil War - arrives at an ominous boys' orphanage, he discovers the school is haunted and has many dark secrets which he must uncover.","{'imdbRating': 7.4, 'imdbVotes': 66314, 'imdbID': 'tt0256009'}",755249
Dawn of the Dead,"Action, Horror",101,Short,R,"A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.","{'imdbRating': 7.3, 'imdbVotes': 255097, 'imdbID': 'tt0363547'}",59020957
