Ackerman, Mark
Adar, Eytan
Aebersold, Michelle
Andalibi, Nazanin
Anthony, Denise
Bermann, Sol
Besprozvany, Vadim
Brewer, Robin
Brueckner, Sophia
Brooks, Christopher
Budak, Ceren
Buis, Lorraine
Chalmers, Melissa
Chen, Yan
Cohn, Alain
Collins-Thompson, Kevyn
Conway, Paul
Courant, Paul
Dhillon, Paramveer
Dillahunt, Tawanna
Dye, Michaelanne
Eglash, Ron
Ellison, Nicole
Ericson, Barbara
Finholt, Tom
Fishman, Barry
Fontichiaro, Kristin
Friedman, Chuck
Garcia, Patricia
Gilbert, Eric
Godin, Elena
Guzdial, Mark
Hanauer, David
Haimson, Oliver
Happ, Ed
Hedstrom, Margaret
Hemphill, Libby
Hilton, James
Hui, Julie
Jacobs, Abigail
Josias, Anthea
Jurgens, David
King, John
Klasnja, Pedja
Krumm, Andrew
Krupka, Erin
Lagoze, Carl
Lampe, Cliff
Levenstein, Margaret
Lindtner, Silvia
Litman, Jessica
Madamanchi, Aasakiran
Marcu, Gabriela
Mei, Qiaozhu
Nebeling, Michael
Naseem, Mustafa
Newman, Mark
O'Brien, Elle
O'Modhrain, Sile
Oney, Stephen
Orhun, Yesim
Pal, Joyojeet
Park, Sun Young
Pasquetto, Irene
Pierce, Casey
Popov, Vitaliy
Punzalan, Ricky
Resnick, Paul
Robert, Lionel
Romero, Daniel
Rosenblat, Tanya
Samson, Perry
Sandvig, Christian
Schaub, Florian
Schoenebeck, Grant
Schoenebeck, Sarita Yardi
Severance, Charles
Shah, Priti
Singh, Karandeep
Soloway, Elliot
Teasley, Stephanie
Teplitskiy, Mikhail
Teplovs, Chris
Thomer, Andrea
Toyama, Kentaro
Van Lent, Colleen
Veinot, Tiffany
Vydiswaran, Vinod
Wallace, David
Wei, Yumou
Whyte, Anthony
Yakel, Beth
Yang, Xi
