headline_main,byline,web_url,pub_date
"Shattered by Nazi Bombs, a Fossil’s Lost Copies Are Just Being Found",By Gemma Conroy,https://www.nytimes.com/2022/11/01/science/ichthyosaur-fossil-discovery-cast-museum-destroyed.html,2022-11-01T23:01:10+0000
First Known Family of Neanderthals Found in Russian Cave,By Carl Zimmer,https://www.nytimes.com/2022/10/19/science/first-neanderthal-family-russian-cave.html,2022-10-19T15:00:13+0000
Secrets Preserved in the Skin of Dakota the ‘Dino Mummy’,By Jeanne Timmons,https://www.nytimes.com/2022/10/12/science/dino-mummy-skin-dakota.html,2022-10-12T18:04:44+0000
Fossils Reveal Pterosaur Relatives Before They Evolved Wings,By Jack Tamisiea,https://www.nytimes.com/2022/10/05/science/pterosaurs-reptiles-wings.html,2022-10-05T15:00:08+0000
Nobel Prize Awarded to Scientist Who Sequenced Neanderthal Genome,By Benjamin Mueller,https://www.nytimes.com/2022/10/03/health/nobel-prize-medicine-physiology-winner.html,2022-10-03T08:35:10+0000
Fossilized Fish Reveal Earliest Known Prequel of ‘Jaws’,By Asher Elbein,https://www.nytimes.com/2022/09/28/science/jaws-fish-fossils-china.html,2022-09-28T19:51:30+0000
Fossils Solve Mystery of an Ancient ‘Alien Goldfish’,By Jack Tamisiea,https://www.nytimes.com/2022/09/20/science/alien-goldfish-fossils.html,2022-09-20T23:01:08+0000
African Crater Adds an Asteroid Strike to the Late Dinosaur Era,By Robin George Andrews,https://www.nytimes.com/2022/08/17/science/crater-dinosaurs-africa.html,2022-08-17T18:02:31+0000
Fossil Find Tantalizes Loch Ness Monster Fans,By Jenny Gross,https://www.nytimes.com/2022/08/04/science/loch-ness-monster.html,2022-08-04T11:30:07+0000
Splitting T. Rex Into 3 Species Becomes a Dinosaur Royal Rumble,By Jack Tamisiea,https://www.nytimes.com/2022/07/25/science/tyrannosaurus-rex-dinosaurs.html,2022-07-25T15:00:16+0000
These Fins Were Made for Walking … and Then Swimming,By Carl Zimmer,https://www.nytimes.com/2022/07/20/science/ancient-fish-evolution-tiktaalik.html,2022-07-20T15:00:13+0000
How Penguins Beat the Heat and Went South,By Jack Tamisiea,https://www.nytimes.com/2022/07/19/science/penguins-evolution-fossils.html,2022-07-19T16:41:13+0000
"They Uncover New Fossils, but They Also Bite",By Annie Roth,https://www.nytimes.com/2022/07/01/science/ants-fossils-species-nebraska.html,2022-07-01T09:00:22+0000
Who’s Got Two Pseudothumbs and Loves to Eat Bamboo? This Bear.,By Jack Tamisiea,https://www.nytimes.com/2022/06/30/science/panda-thumb.html,2022-06-30T15:31:39+0000
Earth’s Largest Rodents Were Smaller Than We Once Thought,By Jack Tamisiea,https://www.nytimes.com/2022/06/14/science/giant-rodents-size.html,2022-06-14T23:01:08+0000
Fred the Mastodon’s Tusks Reveal a Life of Fighting and Roaming,By Jeanne Timmons,https://www.nytimes.com/2022/06/13/science/mastodon-tusk-migration.html,2022-06-13T19:00:08+0000
"Before Chickens Were Nuggets, They Were Revered",By James Gorman,https://www.nytimes.com/2022/06/07/science/chicken-domestication-origin.html,2022-06-07T16:44:48+0000
"Giraffes May Be Long-Necked for Fights, Not Just Food",By Jack Tamisiea,https://www.nytimes.com/2022/06/02/science/giraffe-neck-evolution.html,2022-06-02T18:00:10+0000
Megalodons vs. Great White Sharks? We Know Which Predator Won.,By Veronique Greenwood,https://www.nytimes.com/2022/05/31/science/megalodon-great-white-sharks.html,2022-05-31T15:15:12+0000
