Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,imdbRating
Would You Rather,2012,Not Rated,06 Jun 2019,93 min,"Horror, Thriller",David Guy Levy,Steffen Schlachtenhaufen,"Brittany Snow, June Squibb, Jeffrey Combs","Desperate to help her ailing brother, a young woman unknowingly agrees to compete in a deadly game of ""Would You Rather,"" hosted by a sadistic aristocrat.",English,United States,1 nomination,5.7
Us,2019,R,22 Mar 2019,116 min,"Horror, Mystery, Thriller",Jordan Peele,Jordan Peele,"Lupita Nyong'o, Winston Duke, Elisabeth Moss",A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,English,"United States, China, Japan",85 wins & 132 nominations,6.8
The Texas Chain Saw Massacre,1974,R,11 Oct 1974,83 min,Horror,Tobe Hooper,"Kim Henkel, Tobe Hooper","Marilyn Burns, Edwin Neal, Allen Danziger","Five friends head out to rural Texas to visit the grave of a grandfather. On the way they stumble across what appears to be a deserted house, only to discover something sinister within. Something armed with a chainsaw.",English,United States,1 win & 2 nominations,7.4
The Skeleton Key,2005,PG-13,12 Aug 2005,104 min,"Drama, Horror, Mystery",Iain Softley,Ehren Kruger,"Kate Hudson, Peter Sarsgaard, Joy Bryant",A hospice nurse working at a spooky New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.,"English, French","United States, Germany",5 nominations,6.5
The Silence of the Lambs,1991,R,14 Feb 1991,118 min,"Crime, Drama, Thriller",Jonathan Demme,"Thomas Harris, Ted Tally","Jodie Foster, Anthony Hopkins, Lawrence A. Bonney","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","English, Latin",United States,Won 5 Oscars. 69 wins & 51 nominations total,8.6
The Shining,1980,R,13 Jun 1980,146 min,"Drama, Horror",Stanley Kubrick,"Stephen King, Stanley Kubrick, Diane Johnson","Jack Nicholson, Shelley Duvall, Danny Lloyd","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",English,"United Kingdom, United States",4 wins & 8 nominations,8.4
The Ring,2002,PG-13,18 Oct 2002,115 min,"Horror, Mystery",Gore Verbinski,"Ehren Kruger, Kôji Suzuki, Hiroshi Takahashi","Naomi Watts, Martin Henderson, Brian Cox",A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.,English,"United States, Japan",14 wins & 12 nominations,7.1
The Purge: Anarchy,2014,R,18 Jul 2014,103 min,"Action, Horror, Sci-Fi",James DeMonaco,James DeMonaco,"Frank Grillo, Carmen Ejogo, Zach Gilford","Three groups of people intertwine and are left stranded in the streets on Purge Night, trying to survive the chaos and violence that occurs.",English,"United States, France",3 wins & 6 nominations,6.4
The Others,2001,PG-13,10 Aug 2001,104 min,"Horror, Mystery, Thriller",Alejandro Amenábar,Alejandro Amenábar,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan",A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,English,"Spain, United States, France, Italy",Nominated for 2 BAFTA 29 wins & 55 nominations total,7.6
The Nun,2018,R,07 Sep 2018,96 min,"Horror, Mystery, Thriller",Corin Hardy,"Gary Dauberman, James Wan","Demián Bichir, Taissa Farmiga, Jonas Bloquet",A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,"English, French, Romanian, Latin",United States,2 wins & 1 nomination,5.3
