pid,category_1,category_2,category_3
P00069042,3,,
P00248942,1,6,14
P00087842,12,,
P00085442,12,14,
P00285442,8,,
P00193542,1,2,
P00184942,1,8,17
P00346142,1,15,
P0097242,1,16,
P00274942,8,,
P00251242,5,11,
P00014542,8,,
P00031342,8,,
P00145042,1,2,5
P00231342,5,8,14
P00190242,4,5,
P0096642,2,3,4
P00058442,5,14,
P00036842,1,14,16
P00249542,1,5,15
P00220442,5,14,
P00156442,8,,
P00213742,8,,
P00214442,8,,
P00303442,1,8,14
P00135742,6,8,
P00039942,8,,
P00161442,5,14,
P00078742,5,8,14
P00085942,2,4,8
P00118742,5,11,
P00297942,8,,
P00266842,5,,
P00058342,3,4,
P00032442,5,,
P00105942,5,,
P00182642,2,4,9
P00186942,5,12,
P00155442,1,11,15
P00221342,1,2,5
P00087242,14,,
P00111142,1,15,16
P00259342,5,9,
P0094542,2,4,9
P00148642,6,10,13
P00312142,8,,
P00113242,1,6,8
P00192642,8,17,
P00110842,1,2,5
P00189642,8,13,
P00304242,1,6,
P00365242,5,8,
P00129542,8,14,
P00140742,1,15,
P00182342,1,5,6
P00276642,8,11,
P00334242,1,8,
P00247542,8,16,
P00338442,1,16,
P00275142,5,8,
P00333042,5,8,
P00166242,8,,
P00161942,5,8,
P00348242,8,,
P00042142,1,2,6
P00244242,1,2,15
P00217742,5,14,
P00019342,1,6,15
P00100642,5,15,
P00073842,1,15,17
P00366542,5,,
P00190742,3,4,9
P00151842,4,8,9
P00112642,1,2,5
P00118442,1,2,
P00034442,1,14,16
P00222242,1,2,13
P00118342,2,3,15
P00324742,2,9,14
P00190042,3,4,5
P0094142,4,5,
P00138542,5,6,
P00158542,5,6,13
P00157542,8,14,
P00044142,8,16,
P00112542,1,11,15
P00339542,1,,
P00127842,1,2,15
P00125942,1,2,15
P00251342,5,11,
P00249642,3,5,
P00124842,11,,
P00250642,11,,
P00058142,3,4,12
P00117442,5,14,
P00251642,1,2,4
P00244842,11,,
P00220242,3,12,
P00351142,1,8,17
P00213242,5,8,
P00195942,3,4,
P00115642,8,14,
P0098242,1,16,
P00262242,1,11,16
P00258742,5,,
P00218242,5,8,
P00021742,5,,
P00313042,5,14,
P00133742,5,14,
P00077042,5,,
P00280542,11,,
P00225842,2,4,15
P00278942,1,2,3
P00004742,6,16,
P00198042,11,16,
P00177442,1,6,8
P00000642,1,6,16
P00288942,1,2,5
P00270942,1,2,15
P00345842,2,8,14
P00032042,1,2,15
P00112342,13,16,
P00031842,1,5,12
P00346642,8,,
P00205642,5,8,
P00206442,1,5,9
P00046742,1,2,15
P00120042,1,2,
P00043242,5,,
P00057242,5,,
P00022842,5,,
P00252042,5,14,
P00042242,5,15,
P00059542,2,4,
P00021242,8,16,
P00023042,5,14,
P00144242,5,14,
P00101342,6,8,
P00289342,5,8,14
P00281742,5,8,18
P00266642,1,8,9
P00323742,8,,
P00116342,2,,
P00117142,2,17,
P00084442,13,16,
P00331542,5,8,
P00178942,5,8,
P00026042,8,14,17
P00233542,1,15,
P00127242,1,16,
P00349942,1,5,
P00303342,1,16,
P00051442,8,17,
P00275642,8,,
P00278642,5,,
P00322042,5,8,
P00216342,3,4,5
P00329342,5,,
P00332342,5,8,
P00111742,15,,
P00293742,8,,
P00032842,8,,
P00216142,1,16,
P00001642,8,16,
P00351842,5,,
P00145442,8,15,
P00344242,8,10,
P00327242,5,8,
P00241142,8,,
P00219242,4,5,
P00057342,4,5,
P00165742,8,16,
P00154642,8,,
P00192942,5,,
P00247042,5,14,
P00150542,5,,
P00347142,5,,
P00326742,11,,
P00330442,5,14,
P00327842,8,16,
P00218342,5,,
P00259042,5,,
P00102542,8,,
P00121142,8,,
P00228242,8,,
P00309542,5,14,
P00106742,3,5,
P00102642,4,8,9
P00127442,1,2,15
P00345642,1,15,16
P00357842,5,,
P00115342,5,8,14
P00174442,5,,
P00282642,5,,
P00037142,1,2,5
P00192042,5,9,14
P00197542,5,,
P00048742,5,,
P00110142,7,,
P00120842,8,17,
P00267742,5,,
P00086442,8,13,15
P00331842,16,,
P00288642,16,,
P00318742,1,8,
P00028442,1,8,16
P00208342,1,16,
P00277442,1,6,15
P00085242,8,14,17
P00279442,16,,
P00235242,8,,
P00251542,11,16,
P00003242,8,15,
P00221542,5,15,
P00142142,1,2,15
P00044442,1,16,
P00147742,1,16,
P00030942,4,5,9
P00288042,8,,
P00313142,8,,
P00195442,5,,
P00255842,16,,
P00112142,1,2,14
P00120342,5,17,
P00110542,8,,
P00279942,8,,
P00303742,8,,
P00316742,4,5,
P00115242,5,8,
P00302842,8,13,
P00066442,5,14,
P00273442,12,14,17
P00210142,14,,
P00212542,8,14,
P00321742,5,8,17
P00020042,5,8,
P00051942,5,6,11
P00303542,5,,
P00228142,5,,
P00123142,11,,
P00079542,5,8,
P00103142,1,,
P00305542,11,,
P00031042,8,,
P00260042,5,8,
P00055642,4,5,
P00312742,15,,
P00010742,1,8,17
P00223242,5,14,
P00114942,1,15,16
P00183242,5,15,
P00030842,1,2,15
P00220142,1,15,
P00130442,3,5,
P00323042,5,,
P00344742,5,,
P00182442,5,11,
P00015342,2,4,
P00103042,1,14,
P00187842,1,16,
P00162442,1,16,
P00078542,1,2,16
P00324442,11,13,16
P00041642,5,,
P00050542,5,,
P00006442,5,,
P00350942,3,4,5
P00000142,3,4,5
P00034042,1,2,16
P00143142,8,14,
P00317942,8,16,
P00335542,8,,
